epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7666,2.67631,6.8865,2.83378,0.00429,0.6215,0.06754,0.04848,2.23887,7.0661,2.16069,0.00025722,0.00025722,0.00025722
2,37.883,2.42574,4.70338,2.36446,0.00443,0.63294,0.06515,0.03859,2.33837,6.96168,2.32938,0.000518261,0.000518261,0.000518261
3,45.5612,2.46212,3.68988,2.39,0.00593,0.68056,0.11142,0.08105,2.19913,6.27781,2.30426,0.00076855,0.00076855,0.00076855
4,54.1682,2.41587,3.27106,2.39429,0.42319,0.15313,0.08896,0.06023,2.4362,6.35835,2.57325,0.00100809,0.00100809,0.00100809
5,61.4693,2.41046,3.10143,2.389,0.44057,0.31793,0.11487,0.08111,2.31387,5.90114,2.4587,0.00123687,0.00123687,0.00123687
6,69.9965,2.3295,2.93571,2.31985,0.49445,0.18093,0.21679,0.13467,2.38467,6.09772,2.51322,0.00128753,0.00128753,0.00128753
7,77.7507,2.40014,3.81019,2.39507,0.47296,0.23868,0.18219,0.11936,2.35448,6.90592,2.51382,0.00125923,0.00125923,0.00125923
8,85.3407,2.26062,2.64646,2.3069,0.46921,0.3387,0.21969,0.13971,2.48446,9.89169,2.62776,0.00123094,0.00123094,0.00123094
9,94.2353,2.31459,2.65454,2.32704,0.2011,0.64694,0.22824,0.14467,2.34236,10.6519,2.51961,0.00120265,0.00120265,0.00120265
10,101.188,2.23734,2.51928,2.26666,0.15306,0.70635,0.22648,0.15656,2.38497,10.7259,2.55865,0.00117435,0.00117435,0.00117435
11,109.89,2.23032,2.54008,2.29578,0.22125,0.64432,0.27391,0.17494,2.39445,7.86652,2.53354,0.00114606,0.00114606,0.00114606
12,116.973,2.24407,2.39555,2.2447,0.25598,0.6164,0.26666,0.15224,2.38233,6.83801,2.49904,0.00111776,0.00111776,0.00111776
13,125.288,2.25998,2.41035,2.28138,0.1742,0.71627,0.21116,0.13992,2.34243,6.62757,2.43499,0.00108947,0.00108947,0.00108947
14,132.892,2.2041,2.32189,2.27552,0.20895,0.66506,0.2434,0.1593,2.29034,6.63421,2.40935,0.00106118,0.00106118,0.00106118
15,140.944,2.22381,2.32472,2.27022,0.17634,0.63095,0.1949,0.13114,2.42166,5.79279,2.45636,0.00103288,0.00103288,0.00103288
16,149.036,2.19755,2.36405,2.25197,0.25851,0.59617,0.27685,0.18363,2.33222,8.12356,2.43997,0.00100459,0.00100459,0.00100459
17,156.152,2.2031,2.24348,2.26844,0.1845,0.52381,0.25884,0.18014,2.42822,5.33419,2.51485,0.000976293,0.000976293,0.000976293
18,164.377,2.1726,2.17654,2.27857,0.20565,0.54855,0.2609,0.18568,2.17154,8.08298,2.3792,0.000947999,0.000947999,0.000947999
19,171.374,2.18989,2.24563,2.29647,0.19403,0.54855,0.2356,0.16106,2.32589,6.73734,2.46217,0.000919704,0.000919704,0.000919704
20,179.487,2.17503,2.16862,2.27275,0.1767,0.77381,0.24046,0.16663,2.37006,7.72697,2.52008,0.00089141,0.00089141,0.00089141
21,186.249,2.20345,2.18895,2.27828,0.18501,0.67857,0.2096,0.1291,2.70343,5.61319,2.69885,0.000863116,0.000863116,0.000863116
22,195.02,2.15461,2.0812,2.27418,0.20075,0.79634,0.26637,0.17751,2.37421,11.1883,2.49333,0.000834822,0.000834822,0.000834822
23,203.149,2.21068,2.14331,2.31353,0.21129,0.66515,0.23954,0.16114,2.23108,6.06814,2.3541,0.000806528,0.000806528,0.000806528
